Şehir,İlçe,Konum,Konum Linki
Adıyaman,Merkez,1 No'lu Sağlık Ocağı yanı,https://goo.gl/maps/JPCEomsxiwMJ2TR89
Adıyaman,Besni,Besni Devlet Hastanesi,https://goo.gl/maps/wdGPYJvj1NKnspPi8
Adıyaman,Gölbaşı,Gölbaşı Devlet Hastanesi,https://goo.gl/maps/StbfRaf4FzWRxU7j8
Adıyaman,Merkez,Eğriçayır Parkı Atletizm Pisti,https://goo.gl/maps/5uXe4dpAgHELT5DS7
Adıyaman,Merkez,Adıyaman Eğitim ve Araştırma Hastanesi Poliklinik Girişi,"https://www.google.com/maps/place/37%C2%B046'01.9%22N+38%C2%B019'21.3%22E/@37.7671944,38.3225833,17z/data=!3m1!4b1!4m4!3m3!8m2!3d37.7671944!4d38.3225833?hl=tr&coh=164777&entry=tt"
Gaziantep,Islahiye,İslahiye Devlet Hastanesi Bahçesi,https://goo.gl/maps/54DoQ9Hw7Y8hdNaQ6
Gaziantep,Nurdağı,Nurdağı Stadyumu,https://goo.gl/maps/pE3vjhwmxA3CE1ps8
Hatay,İskenderun,İskenderun Teknik Üniversitesi Merkez Kampüs Bahçesi ,https://goo.gl/maps/HckASK6R67jfbTFBA
Hatay,Merkez,İl Sağlık Müdürlüğü Yanı,https://goo.gl/maps/DX6kDFpsDQprjrm28
Hatay,Kırıkhan,Kırıkhan Devlet Hastanesi Yanı,https://goo.gl/maps/LLLKrzNGtwBzBx7a6
Hatay,Defne,Defne Kaymakamlık bahçesi,https://goo.gl/maps/X5rC2zLdUCCSnNEK8
Hatay,Defne,"Çadırkent, Muammer Aksoy Caddesi",https://goo.gl/maps/Zctg4soht1suFXka9
Hatay,Defne,Defne Kaymakamlık Bahçesi,https://goo.gl/maps/CL56EdvHmLttLehA7
Kahramanmaraş,Merkez,Necip Fazıl Şehir Hastanesi Yörük Selim Ek Binası,https://goo.gl/maps/RVxFHRUfyUL6GE4b7
Kahramanmaraş,Afşin,"Pınarbaşı, Afşin Bey Caddesi",https://goo.gl/maps/jhdjwLDzs9U3uXqF7
Kahramanmaraş,Merkez,Necip Fazıl Şehir Hastanesi Kadın Doğum ve Çocuk Hastalıkları Ek Hizmet Binası,"https://www.google.com/maps/place/Necip+Faz%C4%B1l+%C5%9Eehir+Hastanesi+-+Kad%C4%B1n+Do%C4%9Fum+ve+%C3%87ocuk+Hastal%C4%B1klar%C4%B1/@37.5939523,36.8133441,12z/data=!4m5!3m4!1s0x152ddc8bd7dce0b7:0x22a79b4a72e9fe0!8m2!3d37.593973!4d36.8833841?coh=164777&entry=tt"
Kahramanmaraş,Pazarcık,Pazarcık Belediyesi Yanı,https://goo.gl/maps/PBRiC785FxyBgFYV8
Kahramanmaraş,Elbistan,Elbistan Devlet Hastanesi Karşısı,https://goo.gl/maps/jYFVWF1kTDiXMtpZ6
Kahramanmaraş,Türkoğlu,Türkoğlu Millet Meydanı,https://goo.gl/maps/XRPUJzsWrnQ7Vs756
Kahramanmaraş,Pazarcık,Pazarcık Devlet Hastanesi Bahçesi,"https://www.google.com/maps/place/Pazarc%C4%B1k+Devlet+Hastanesi/@37.5030891,37.3234069,15z/data=!4m5!3m4!1s0x0:0x8cb614b23e638b53!8m2!3d37.5030891!4d37.3234069"
Malatya,Merkez,Malatya Eğitim ve Araştırma Hastanesi bahçesi,https://goo.gl/maps/gUvcV1WwbZgwguPi6
Malatya,Merkez,Turgut Özal Tıp Merkezi Hastanesi bahçesi,https://goo.gl/maps/KNWXKYMqrbnee6x46
Malatya,Merkez,Battalgazi Devlet Hastanesi bahçesi,https://goo.gl/maps/g2xZtQz6pSEiRaCJA
Malatya,Merkez,Fahri Kayahan Nikah Dairesi yanı,
Malatya,Doğanşehir,Yeni Devlet Hastanesi Karşısı,https://goo.gl/maps/3Ccn3Uo4LWhzRXZH9
Şanlıurfa,Merkez,Karaköprü Fuar Merkezi Bahçesi,https://goo.gl/maps/EA7WgteMy21g6Ux99
Şanlıurfa,Merkez,Şanlıurfa Müzesi Otoparkı,https://goo.gl/maps/Ks4yqgpVEZSHoJXG9